"","id","movie_title","director_name","genre","country","num_voted_users","imdb_score"
"1",1,"Avatar","James Cameron","Action","USA",886204,7.9
"2",2,"Pirates of the Caribbean: At World's End","Gore Verbinski","Action","USA",471220,7.1
"3",3,"Spectre","Sam Mendes","Action","UK",275868,6.8
"4",4,"The Dark Knight Rises","Christopher Nolan","Action","USA",1144337,8.5
"5",5,"John Carter","Andrew Stanton","Action","USA",212204,6.6
"6",8,"Avengers: Age of Ultron","Joss Whedon","Action","USA",462669,7.5
"7",10,"Batman v Superman: Dawn of Justice","Zack Snyder","Action","USA",371639,6.9
"8",12,"Quantum of Solace","Marc Forster","Action","UK",330784,6.7
"9",13,"Pirates of the Caribbean: Dead Man's Chest","Gore Verbinski","Action","USA",522040,7.3
"10",15,"Man of Steel","Zack Snyder","Action","USA",548573,7.2
"11",16,"The Chronicles of Narnia: Prince Caspian","Andrew Adamson","Action","USA",149922,6.6
"12",17,"The Avengers","Joss Whedon","Action","USA",995415,8.1
"13",18,"Pirates of the Caribbean: On Stranger Tides","Rob Marshall","Action","USA",370704,6.7
"14",19,"Men in Black 3","Barry Sonnenfeld","Action","USA",268154,6.8
"15",21,"The Amazing Spider-Man","Marc Webb","Action","USA",451803,7
"16",22,"Robin Hood","Ridley Scott","Action","USA",211765,6.7
"17",25,"King Kong","Peter Jackson","Action","New Zealand",316018,7.2
"18",27,"Captain America: Civil War","Anthony Russo","Action","USA",272670,8.2
"19",29,"Jurassic World","Colin Trevorrow","Action","USA",418214,7
"20",30,"Skyfall","Sam Mendes","Action","UK",522030,7.8
"21",31,"Spider-Man 2","Sam Raimi","Action","USA",411164,7.3
"22",32,"Iron Man 3","Shane Black","Action","USA",557489,7.2
"23",34,"X-Men: The Last Stand","Brett Ratner","Action","Canada",383427,6.8
"24",39,"The Amazing Spider-Man 2","Marc Webb","Action","USA",321227,6.7
"25",40,"TRON: Legacy","Joseph Kosinski","Action","USA",264183,6.8
"26",44,"Terminator Salvation","McG","Action","USA",286095,6.6
"27",45,"Furious 7","James Wan","Action","USA",278232,7.2
"28",46,"World War Z","Marc Forster","Action","USA",465019,7
"29",47,"X-Men: Days of Future Past","Bryan Singer","Action","USA",514125,8
"30",48,"Star Trek Into Darkness","J.J. Abrams","Action","USA",395573,7.8
"31",51,"Prince of Persia: The Sands of Time","Mike Newell","Action","USA",222403,6.6
"32",52,"Pacific Rim","Guillermo del Toro","Action","USA",381148,7
"33",56,"Star Trek Beyond","Justin Lin","Action","USA",53607,7.5
"34",62,"The Legend of Tarzan","David Yates","Action","USA",42372,6.6
"35",64,"X-Men: Apocalypse","Bryan Singer","Action","USA",148379,7.3
"36",65,"The Dark Knight","Christopher Nolan","Action","USA",1676169,9
"37",68,"Iron Man","Jon Favreau","Action","USA",696338,7.9
"38",72,"Suicide Squad","David Ayer","Action","USA",118992,6.9
"39",74,"Edge of Tomorrow","Doug Liman","Action","USA",431620,7.9
"40",79,"Iron Man 2","Jon Favreau","Action","USA",522371,7
"41",81,"Maleficent","Robert Stromberg","Action","USA",252257,7
"42",82,"Dawn of the Planet of the Apes","Matt Reeves","Action","USA",317542,7.6
"43",84,"Captain America: The Winter Soldier","Anthony Russo","Action","USA",496749,7.8
"44",87,"Big Hero 6","Don Hall","Action","USA",279093,7.9
"45",93,"Guardians of the Galaxy","James Gunn","Action","USA",682155,8.1
"46",95,"Inception","Christopher Nolan","Action","USA",1468200,8.8
"47",97,"The Fast and the Furious","Rob Cohen","Action","USA",272223,6.7
"48",99,"X-Men: First Class","Matthew Vaughn","Action","USA",518537,7.8
"49",105,"Warcraft","Duncan Jones","Action","USA",111609,7.3
"50",106,"Terminator Genisys","Alan Taylor","Action","USA",188457,6.6
"51",109,"Transformers","Michael Bay","Action","USA",513158,7.1
"52",117,"Batman Begins","Christopher Nolan","Action","USA",980946,8.3
"53",118,"Madagascar: Escape 2 Africa","Eric Darnell","Action","USA",146019,6.7
"54",120,"X-Men Origins: Wolverine","Gavin Hood","Action","USA",361924,6.7
"55",121,"The Matrix Revolutions","Lana Wachowski","Action","Australia",364948,6.7
"56",123,"The Matrix Reloaded","Lana Wachowski","Action","USA",421818,7.2
"57",124,"Thor: The Dark World","Alan Taylor","Action","USA",414070,7.1
"58",125,"Mad Max: Fury Road","George Miller","Action","Australia",552503,8.1
"59",127,"Thor","Kenneth Branagh","Action","USA",536314,7
"60",132,"Mission: Impossible - Rogue Nation","Christopher McQuarrie","Action","China",232187,7.4
"61",134,"The Legend of Tarzan","David Yates","Action","USA",42372,6.6
"62",136,"Kung Fu Panda 2","Jennifer Yuh Nelson","Action","USA",182718,7.3
"63",138,"Mission: Impossible III","J.J. Abrams","Action","USA",256695,6.9
"64",148,"Armageddon","Michael Bay","Action","USA",322395,6.6
"65",151,"Kung Fu Panda 3","Alessandro Carloni","Action","USA",64322,7.2
"66",152,"Mission: Impossible - Ghost Protocol","Brad Bird","Action","USA",365104,7.4
"67",155,"The Last Samurai","Edward Zwick","Action","USA",317166,7.7
"68",157,"Star Trek","J.J. Abrams","Action","USA",504419,8
"69",158,"Spider-Man","Sam Raimi","Action","USA",544665,7.3
"70",159,"How to Train Your Dragon 2","Dean DeBlois","Action","USA",221128,7.9
"71",162,"Watchmen","Zack Snyder","Action","USA",392474,7.7
"72",163,"Lethal Weapon 4","Richard Donner","Action","USA",127497,6.6
"73",168,"Captain America: The First Avenger","Joe Johnston","Action","USA",508818,6.9
"74",170,"Master and Commander: The Far Side of the World","Peter Weir","Action","USA",168207,7.4
"75",173,"The Incredible Hulk","Louis Leterrier","Action","USA",326286,6.8
"76",179,"The Bourne Ultimatum","Paul Greengrass","Action","USA",491077,8.1
"77",180,"Kung Fu Panda","Mark Osborne","Action","USA",307029,7.6
"78",181,"Ant-Man","Peyton Reed","Action","USA",313866,7.4
"79",186,"Bad Boys II","Michael Bay","Action","USA",178126,6.6
"80",187,"Puss in Boots","Chris Miller","Action","USA",114287,6.7
"81",190,"The Adventures of Tintin","Steven Spielberg","Action","USA",177383,7.4
"82",196,"Megamind","Tom McGrath","Action","USA",172754,7.3
"83",199,"Pirates of the Caribbean: The Curse of the Black Pearl","Gore Verbinski","Action","USA",809474,8.1
"84",203,"X-Men 2","Bryan Singer","Action","Canada",405973,7.5
"85",204,"Fast Five","Justin Lin","Action","USA",284792,7.3
"86",205,"Sherlock Holmes: A Game of Shadows","Guy Ritchie","Action","USA",338635,7.5
"87",207,"Total Recall","Paul Verhoeven","Action","USA",240241,7.5
"88",208,"The 13th Warrior","John McTiernan","Action","USA",101411,6.6
"89",209,"The Bourne Legacy","Tony Gilroy","Action","USA",229823,6.7
"90",218,"Jason Bourne","Paul Greengrass","Action","UK",40123,7.1
"91",222,"Elysium","Neill Blomkamp","Action","USA",338087,6.6
"92",223,"The Chronicles of Riddick","David Twohy","Action","USA",183909,6.7
"93",228,"Oblivion","Joseph Kosinski","Action","USA",387436,7
"94",229,"Star Wars: Episode III - Revenge of the Sith","George Lucas","Action","USA",520104,7.6
"95",230,"Star Wars: Episode II - Attack of the Clones","George Lucas","Action","USA",464310,6.7
"96",232,"The Wolverine","James Mangold","Action","USA",328067,6.7
"97",245,"The Patriot","Roland Emmerich","Action","USA",207613,7.1
"98",256,"Real Steel","Shawn Levy","Action","USA",254841,7.1
